"Time [ns]","SolidLoss [mW]"
0,3.20255524995127E-12
75000000,407.507249402174
150000000,480.087443151293
225000000,479.092759984732
300000000,308.048192471466
375000000,0.984553798704352
450000000,0.0112674244063378
525000000,0.000171336538115385
600000000,2.73524876127965E-06
675000000,4.41593554913717E-08
750000000,7.15277880084131E-10
825000000,1.15982598956614E-11
900000000,1.88135794967271E-13
975000000,3.05215936280915E-15
1000000000,2.83054478157677E-16
