"Time [ms]","force_virtual.Force_x [newton]","force_virtual.Force_y [newton]"
0,1.61273051353763,0.551668519195228
1,1.66801794968424,0.570315300109612
2,1.71672218694019,0.586726033530452
3,1.75865090859172,0.600841974544485
4,1.79363854981753,0.612612735897815
5,1.82154695250307,0.621996402927486
6,1.84226591170994,0.628959627401297
7,1.8489897592618,0.631218803835334
8,1.85541335199452,0.633376833939179
9,1.85801254759697,0.634249970616375
10,1.85502769044278,0.633247276725723
11,1.83616405755975,0.626909194292028
12,1.81303811686979,0.619135982308685
13,1.78275633256789,0.608952487073341
14,1.74543828125211,0.596394921453186
15,1.70123132272883,0.581508035756625
16,1.65031001713968,0.564345016964901
17,1.59287543455959,0.544967366588377
18,1.52915435977184,0.523444756239168
19,1.45939839540699,0.49985485996528
20,1.38388296702396,0.474283162293249
21,1.30290623406604,0.446822740933455
22,1.21678791104226,0.417574023122954
23,1.12586800360825,0.386644514605053
24,1.03050546457659,0.354148500345226
25,0.931076775187022,0.320206716189213
26,0.827974457275196,0.284945990826743
27,0.721605522243476,0.248498857609908
28,0.612389862974243,0.211003135977221
29,0.500758595084005,0.172601482496295
30,0.387152354059163,0.133440911786539
31,0.272019555045473,0.0936722879141383
32,0.155814622160552,0.0534497871056164
33,0.0389961943427946,0.0129303330101258
34,-0.0779746851870672,-0.0277269939689358
35,-0.194636388669888,-0.0683615713747475
36,-0.310528525596957,-0.108811871226356
37,-0.425193759349652,-0.148916115825401
38,-0.538179611520232,-0.188512949950763
39,-0.6490402467984,-0.227442126245395
40,-0.757338231406516,-0.265545200372358
41,-0.862646258151516,-0.302666232153979
42,-0.96454883130074,-0.338652488743446
43,-1.06264390467099,-0.373355145707571
44,-1.1565444664804,-0.40662998164569
45,-1.24588006473773,-0.438338061963219
46,-1.33029826719078,-0.46834640725098
47,-1.4094660500922,-0.496528641776386
48,-1.48307111034254,-0.522765617545101
49,-1.5508230958636,-0.546946009522676
50,-1.61245474937918,-0.568966877664233
51,-1.6677229611281,-0.58873419163904
52,-1.71640972637858,-0.606163314261084
53,-1.75832300400004,-0.621179440000218
54,-1.79329747273497,-0.633717985150137
55,-1.82119518220459,-0.643724926635909
56,-1.84190609611132,-0.65115708681582
57,-1.84862731320073,-0.653569584772223
58,-1.85504838398726,-0.655874611352274
59,-1.85764655664291,-0.656807372440578
60,-1.85466287409552,-0.655736214340491
61,-1.83580662079893,-0.648967998591666
62,-1.81268962425556,-0.640673459965715
63,-1.78241938032299,-0.629817312248067
64,-1.74511528360287,-0.616446376436834
65,-1.70092447382558,-0.600618230177256
66,-1.65002125646223,-0.582400904692038
67,-1.59260641632377,-0.561872528534352
68,-1.52890642684175,-0.539120920954006
69,-1.45917255812036,-0.514243138017702
70,-1.38367988725731,-0.487344974996294
71,-1.30272621479652,-0.458540428748924
72.0000000000001,-1.21663089156838,-0.427951124167743
73.0000000000001,-1.12573356050805,-0.395705708848792
74.0000000000001,-1.03039281838522,-0.361939220394469
75.0000000000001,-0.930984802689595,-0.326792430786111
76.0000000000001,-0.827901709219508,-0.290411172371279
77.0000000000001,-0.721550246196791,-0.252945649974553
78.0000000000001,-0.612350030960444,-0.214549743641347
79.0000000000001,-0.500731935563301,-0.175380306386489
80.0000000000001,-0.387136387755241,-0.135596461240583
81.0000000000001,-0.272011634044235,-0.0953589016787071
82.0000000000001,-0.155811971668249,-0.054829199320106
83.0000000000001,-0.0389959564450282,-0.0141691225692594
84.0000000000001,0.0779754064529461,0.0264600304696224
85.0000000000001,0.194640481639606,0.0668980816570666
86.0000000000001,0.310538825436069,0.106986602351938
87.0000000000001,0.425213003338238,0.146569520326965
88.0000000000001,0.538210395879635,0.185493701988989
89.0000000000001,0.649084985755375,0.223609508117736
90.0000000000001,0.757399119114742,0.260771321707837
91.0000000000001,0.862725234087295,0.296838046815072
92.0000000000001,0.964647549679664,0.331673577646101
93.0000000000001,1.06276370835972,0.365147237395669
94.0000000000001,1.15668636581415,0.397134186686371
95.0000000000001,1.24604472159241,0.427515801661298
96.0000000000001,1.33048598454202,0.456180022064589
97.0000000000001,1.40967676723931,0.483021669814266
98.0000000000001,1.48330440386231,0.507942738771169
99.0000000000001,1.55107818628946,0.530852656538538
100,1.61273051349618,0.551668519211223
