"Time [ms]","force_virtual.Force_x [newton]","force_virtual.Force_y [newton]"
0,2.78136271651938,1.60109189609565
1,2.77991262322235,1.6075664147374
2,2.78348547810916,1.62215135198471
3,2.78994508970117,1.63706846455294
4,2.79894522489402,1.64564368387212
5,2.8109393318405,1.65041429478654
6,2.82280814400986,1.63016162561587
7,2.83558352166241,1.62590093497022
8,2.84371781442373,1.61405409938756
9,2.84816428652502,1.61732288431933
10,2.84451043177739,1.59509296741272
11,2.83974519484854,1.59537205970915
12,2.8310624792143,1.58717832147428
13,2.81939659449894,1.58204618904406
14,2.80747995645203,1.58145775200963
15,2.79453598849234,1.5851918702569
16,2.78508132068481,1.59433787781991
17,2.77989831363097,1.60623603012161
18,2.7807474302305,1.6179425372338
19,2.78405066846945,1.59301919480889
20,2.78695203584175,1.630223527669
21,2.79953349224963,1.6364462718852
22,2.8081795264688,1.60494926022689
23,2.82637740222299,1.63868378925224
24,2.83866514256135,1.64061032603588
25,2.84566235311457,1.62765447234148
26,2.84775961393162,1.61330330851338
27,2.84310103828145,1.60213280826803
28,2.83659510023603,1.59233234630872
29,2.82778120400883,1.58461492100026
30,2.81513771323092,1.58133837253183
31,2.80239244683953,1.58080571329264
32,2.79088629976606,1.58729701444158
33,2.78219855424131,1.59474179942693
34,2.77916646598236,1.60964705590965
35,2.77981591949344,1.61782254441411
36,2.78564679832823,1.63288294161194
37,2.79273685422608,1.64300873479606
38,2.80556308520319,1.64835279956879
39,2.81828657626346,1.64972886935757
40,2.8314793120658,1.64539524642801
41,2.847629864962,1.60489202786168
42,2.84877737088033,1.62150937541616
43,2.84631155342233,1.60458575567572
44,2.8403639066814,1.56417333251992
45,2.83436297399406,1.5878455858304
46,2.82338445174753,1.58247913712072
47,2.81165839878204,1.57910062997344
48,2.79934726328359,1.58181574444283
49,2.7886834955035,1.58779972906695
50,2.78078700264192,1.60107210345382
51,2.77977977374419,1.61291331804033
52,2.78265565613949,1.62492712693827
53,2.78815056831742,1.62092770417439
54,2.79781703459683,1.64105487415071
55,2.81075739089426,1.63432299222925
56,2.81925275845034,1.61137148290598
57,2.83453799637378,1.64128812336523
58,2.84519937682702,1.63035193721839
59,2.84614976511787,1.61615088932517
60,2.8454816308009,1.6038482415418
61,2.83834186503741,1.59282281219597
62,2.82910998228004,1.58142905734987
63,2.81908253278134,1.58035569676229
64,2.80630071520369,1.57945652944282
65,2.7912693940953,1.55425397871268
66,2.78600608689947,1.58497551316979
67,2.78052291758809,1.57595763791946
68,2.78077177585441,1.61456377363972
69,2.78227808569882,1.62495068290378
70,2.79363444010912,1.63598269194017
71,2.80427944161604,1.64261382866745
72.0000000000001,2.81312147689075,1.64957724842549
73.0000000000001,2.82714656344232,1.64697412100832
74.0000000000001,2.83836986205225,1.63321242730662
75.0000000000001,2.84624834069485,1.62390500103037
76.0000000000001,2.84472027158956,1.58652295586189
77.0000000000001,2.84169823549627,1.56572398577761
78.0000000000001,2.83652039145354,1.58180099137457
79.0000000000001,2.82634584894006,1.58332497930074
80.0000000000001,2.81493768773952,1.57952248571907
81.0000000000001,2.80177258911489,1.57746096831755
82.0000000000001,2.79006097330081,1.58772962993125
83.0000000000001,2.78182262621577,1.59767548588545
84.0000000000001,2.77811677870518,1.61011445264119
85.0000000000001,2.77851503518854,1.62310382851691
86.0000000000001,2.78185579355964,1.60687944935001
87.0000000000001,2.79191683236616,1.64369759531955
88.0000000000001,2.80028032697911,1.63430841763656
89.0000000000001,2.81886866670704,1.64988886751714
90.0000000000001,2.83062745124274,1.64676489804749
91.0000000000001,2.8479954685002,1.62006704349576
92.0000000000001,2.84656084553371,1.62288310516299
93.0000000000001,2.84504455429102,1.61024865090904
94.0000000000001,2.84102683127356,1.58175743141427
95.0000000000001,2.83204127956467,1.59017752580373
96.0000000000001,2.82151486073628,1.58447742569829
97.0000000000001,2.80914789760525,1.58196094476547
98.0000000000001,2.79656708611386,1.58443152866905
99.0000000000001,2.78655651910902,1.58300331723463
100,2.77864947105756,1.60179466126723
