"Time [ns]","SolidLoss [mW]"
0,3.00472770088174E-13
75000000,31.489856653338
150000000,37.3940041898328
225000000,37.7594257211641
300000000,37.0875439205896
375000000,20.3537553815371
450000000,0.00438623805504413
525000000,4.05144939392346E-06
600000000,4.95851109100562E-09
675000000,6.4190892673213E-12
750000000,8.44095365516314E-15
825000000,1.1155311734863E-17
900000000,1.4767306715768E-20
975000000,1.95653113078704E-23
1000000000,3.44071440543918E-25
